device_id,device_session_id,browsers,os
DEV-ABC6080,SESSION-XYZ789,Brave,ChromeOS
DEV-ABC6090,SESSION-XYZ790,Vivaldi,Debian
DEV-ABC6100,SESSION-XYZ791,Opera GX,Ubuntu
DEV-ABC6110,SESSION-XYZ792,Safari,FreeBSD
DEV-ABC6120,SESSION-XYZ793,Chromium,Alpine Linux
DEV-ABC6130,SESSION-ABC123,Brave,ChromeOS
DEV-ABC6140,SESSION-ABC124,Vivaldi,Debian
DEV-ABC6150,SESSION-ABC125,Opera GX,Ubuntu
DEV-ABC6160,SESSION-ABC126,Safari,FreeBSD
DEV-ABC6170,SESSION-ABC127,Chromium,Alpine Linux
DEV-ABC6180,SESSION-DEF456,Brave,ChromeOS
DEV-ABC6190,SESSION-DEF457,Vivaldi,Debian
DEV-ABC6200,SESSION-DEF458,Opera GX,Ubuntu
DEV-ABC6210,SESSION-DEF459,Safari,FreeBSD
DEV-ABC6220,SESSION-DEF460,Chromium,Alpine Linux
DEV-ABC6230,SESSION-GHI789,Brave,ChromeOS
DEV-ABC6240,SESSION-GHI790,Vivaldi,Debian
DEV-ABC6250,SESSION-GHI791,Opera GX,Ubuntu
DEV-ABC6260,SESSION-GHI792,Safari,FreeBSD
DEV-ABC6270,SESSION-GHI793,Chromium,Alpine Linux
DEV-ABC6280,SESSION-JKL012,Brave,ChromeOS
DEV-ABC6290,SESSION-JKL013,Vivaldi,Debian
DEV-ABC6300,SESSION-JKL014,Opera GX,Ubuntu
DEV-ABC6310,SESSION-JKL015,Safari,FreeBSD
DEV-ABC6320,SESSION-JKL016,Chromium,Alpine Linux
