ip,isp,lat,tz
139.130.4.5,Telstra,-33.8688,+10:00
189.123.45.67,Claro,-23.5505,-03:00
41.210.11.22,Safaricom,-1.2864,+03:00
196.223.14.99,Liquid Telecommunications,-26.2041,+02:00
85.23.11.90,Orange France,48.8566,+01:00
85.23.11.91,Orange France,48.8566,+01:00
85.23.11.92,Orange France,48.8566,+01:00
85.23.11.93,Orange France,48.8566,+01:00
85.23.11.94,Orange France,48.8566,+02:00
85.23.11.90,Orange France,48.8566,+01:00
85.23.11.91,Orange France,48.8566,+01:00
85.23.11.92,Orange France,48.8566,+01:00
85.23.11.93,Orange France,48.8566,+01:00
85.23.11.94,Orange France,48.8566,+02:00
85.23.11.90,Orange France,48.8566,+01:00
85.23.11.91,Orange France,48.8566,+01:00
85.23.11.92,Orange France,48.8566,+01:00
85.23.11.93,Orange France,48.8566,+01:00
85.23.11.94,Orange France,48.8566,+02:00
85.23.11.90,Orange France,48.8566,+01:00
85.23.11.91,Orange France,48.8566,+01:00
85.23.11.92,Orange France,48.8566,+01:00
85.23.11.93,Orange France,48.8566,+01:00
85.23.11.94,Orange France,48.8566,+02:00
85.23.11.90,Orange France,48.8566,+01:00
85.23.11.91,Orange France,48.8566,+01:00
85.23.11.92,Orange France,48.8566,+01:00
85.23.11.93,Orange France,48.8566,+01:00
85.23.11.94,Orange France,48.8566,+02:00
